tweet,selected_by_day,date,link,events,selected,journalist,keywords
"Tremblay donne des précisions sur les deux colis : dimensions, poids, prix, etc. Ce fut payé en argent comptant. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522749804909453312,video surveillance,,@MessierSRC,Tremblay donne précisions deux colis dimensions poids prix fut payé comptant #Magnotta
"Les policiers ont demandé une copie du reçu remis au client sur la vidéo, dit Tremblay. On leur a remis. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522748605317537792,video surveillance,,@MessierSRC,policiers ont demandé copie reçu remis client vidéo dit Tremblay a remis #Magnotta
"À 19h10, sur les images du 25 mai, on voyait un individu expédié deux colis, deux boîtes blanches de format moyen, dit Tremblay #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522748408281722880,video surveillance,,@MessierSRC,images 25 mai voyait individu expédié deux colis boîtes blanches format moyen dit Tremblay #Magnotta
"Policiers ont voulu voir les images filmées par nos caméras le vendredi 25 mai, vers 19h, dit Tremblay #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522748127733100544,video surveillance,,@MessierSRC,Policiers ont voulu voir images filmées caméras vendredi 25 mai dit Tremblay #Magnotta
"29 mai 2012: des policiers sont venus pr caméras de surveillance, dit Tremblay. Colis avait été envoyé de notre bureau de postes #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522747590841225217,colis,,@MessierSRC,29 mai policiers sont venus caméras surveillance dit Tremblay Colis avait été bureau postes #Magnotta
"Nouveau témoin de la Couronne: René Tremblay, assistant-gérant d'un Jean Coutu du boul. Queen-Mary, métro Snowdon #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522746905046966272,Profil témoin,,@MessierSRC,Nouveau témoin Couronne René Tremblay assistant-gérant d'un Jean Coutu boul Queen-Mary métro Snowdon #Magnotta
"Procès #Magnotta reprend au palais de justice de Montréal, après nouvelles discussions hors jury.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522746321103765504,procedure,,@MessierSRC,Procès #Magnotta reprend Montréal nouvelles discussions jury
La vidéo du crime est présentée au jury. Vous m'excuserez sans doute mais je suis sortie de la salle ... #Magnotta,,10/16/2014,https://twitter.com/#!/@IsabelleRicher/status/522821582411288576,video,,@IsabelleRicher,vidéo crime est présentée jury m excuserez doute suis sortie salle #Magnotta
"La 2ème fois, #Magnotta est venu en soirée pour poster deux colis.",,10/16/2014,https://twitter.com/#!/@IsabelleRicher/status/522762230811869184,colis,,@IsabelleRicher,2ème fois #Magnotta est venu soirée poster colis
Le commis se souvient de #Magnotta pcq il est allé 2 fois dans la même journée du 25 mai 2012. La 1ère pour se faire rembourser des boîtes,,10/16/2014,https://twitter.com/#!/@IsabelleRicher/status/522762005154111488,arrestation,,@IsabelleRicher,commis souvient #Magnotta est allé fois même journée 25 mai 1ère faire rembourser boîtes
Procès #Magnotta: le 18e témoin est l'employé du comptoir postal qui a reçu l'accusé lorsqu'il a posté des membres du corps de la victime,,10/16/2014,https://twitter.com/#!/@IsabelleRicher/status/522761040158011392,arrestation,,@IsabelleRicher,Procès #Magnotta 18e témoin est l'employé postal a reçu l'accusé lorsqu'il a posté membres corps victime
Rappelons que juge Cournoyer avait annoncé plus tôt aujourd'hui que le jury ne siégerait pas cet après-midi. #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523153012077113344,preuve,,@MessierSRC,Rappelons juge Cournoyer avait annoncé aujourd jury siégerait après-midi #Magnotta
Fin du témoignage de Fradette. Juge Cournoyer invite jury à se reposer en fin de semaine. #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523152482374254592,procedure,,@MessierSRC,Fin témoignage Fradette Juge Cournoyer invite jury reposer semaine #Magnotta
"Passeport de #Magnotta expirait le 25 avril 2017, note son avocat.",,10/17/2014,https://twitter.com/#!/MessierSRC/status/523152197333549056,depart,,@MessierSRC,Passeport #Magnotta expirait 25 avril note avocat
