"tweet","date","link"
"«Je fais du mieux que je peux avec ce que j'ai» dit Watts, après avoir dit qu'il est normal de ne pas avoir toute l'info souhaitée #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535150282423156736"
"Le contre-interrogatoire de Watts est terminé; il est présentement réinterrogé par l'avocat de #Magnotta, Luc Leclair","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535148211821084672"
"Watts précise que DSM5 ne donne pas de critères clairs pour la simulation; il énumère des éléments qui permettent de le suspecter #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535147960825577473"
"Watts précise qu'il ne s'est pas fié qu'aux critères du Manuel de diagnostic des psychiatres (DSM5) pour évaluer cet aspect #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535147477935353856"
"Watts dit qu'il a considéré la possibilité que #Magnotta simule sa maladie ou exagère ses symptômes, mais il a rejeté cette hypothèse","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535147140612624384"
"Procès #Magnotta reprend. La Couronne a encore quelques questions pour le psychiatre Joel Watts.","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535146796176392192"
"Couronne croit avoir terminé son contre-interro, mais veut vérifier ses notes avant de le confirmer. Pause du midi. #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535116396196552705"
"#Magnotta s'est plus souvenu de certaines choses avec Allard, ex. Sharon Stone. La présence des voix diffère aussi.","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535116201379495936"
"Watts maintenant interrogé sur les principales différences dans les versions que #Magnotta a données à la Dre Allard et à lui.","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535115869693939713"
"Couronne interroge maintenant Watts sur les critères pour déterminer si quelqu'un simule un problème («malingering»), selon DSM5 #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535115225482395648"
"Selon le psychiatre, de telles voix peuvent s'en aller lorsque le danger perçu est écarté #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535114819247296512"
"Pourquoi #Magnota a cessé d'entendre voix de Manny après envoi de colis postaux? C'est commun, pas surprenant, dit Watts","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535114530003890176"
"#Magnotta était inquiet que je le perçoive comme toxicomane, poursuit Watts.","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535113727163781120"
"#Magnotta a retenu de l'info à plusieurs reprises, admet Watts. A tardé par ex. à parler de sa visite au Jewish en avril 2012","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535113254021136385"
"#Magnotta a cependant admis avoir été intéressé par les sites Internet gore, dit Watts.","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535111817534902273"
"#Magnotta ne se souvient pas d'avoir fait la vidéo «One lunatic, one icepick», dit Watts.","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535111640451407872"
